fileSize,duration,audio_id,area_start,area_end,category_01,category_02,category_03,note,audioType,gender,generation,dialect
245504,2.783,14.도움요청_103467_label,0.39149999999999996,3.8315,일반(위급),도움요청,여_도움요청_개만지지마_개짖는소리,개만지지마,voice,female,adult,standard
245504,2.783,14.도움요청_103528_label,0.39149999999999996,3.8215,일반(위급),도움요청,여_도움요청_개만지지마_개짖는소리,개만지지마,voice,female,adult,standard
245504,2.783,14.도움요청_103778_label,0.39149999999999996,3.4315,일반(위급),도움요청,여_도움요청_개만지지마_개짖는소리,개만지지마,voice,female,adult,standard
245504,2.783,14.도움요청_103782_label,0.39149999999999996,3.8415,일반(위급),도움요청,여_도움요청_개만지지마_개짖는소리,개만지지마,voice,female,adult,standard
245504,2.783,14.도움요청_116210_label,0.39149999999999996,3.4115,일반(위급),도움요청,여_도움요청_도와주세요_개짖는소리,도와줘요,voice,female,adult,standard
245504,2.783,14.도움요청_116233_label,0.39149999999999996,3.9215,일반(위급),도움요청,여_도움요청_도와주세요_개짖는소리,도와주세요,voice,female,adult,standard
245504,2.783,14.도움요청_116383_label,0.39149999999999996,3.5215,일반(위급),도움요청,남_도움요청_도와주세요_개짖는소리,도와주세요,voice,male,adult,standard
245504,2.783,14.도움요청_119556_label,0.39149999999999996,3.6315,일반(위급),도움요청,여_도움요청_도와주세요_개짖는소리,도와주세요,voice,female,adult,standard
245504,2.783,14.도움요청_119987_label,0.39149999999999996,3.9115,일반(위급),도움요청,여_도움요청_도와주세요_개짖는소리,도와주세요,voice,female,adult,standard
245504,2.783,14.도움요청_121101_label,0.39149999999999996,3.6115,일반(위급),도움요청,여_도움요청_도와주세요_개짖는소리,도와줘요,voice,female,adult,standard
245504,2.783,14.도움요청_121362_label,0.39149999999999996,3.1215,일반(위급),도움요청,남_도움요청_도와주세요_개짖는소리,도와주세요,voice,male,adult,standard
245504,2.783,14.도움요청_122087_label,0.39149999999999996,3.4415,일반(위급),도움요청,여_도움요청_도와주세요_개짖는소리,도와줘요,voice,female,adult,standard
245504,2.783,14.도움요청_123739_label,0.39149999999999996,3.5315,일반(위급),도움요청,여_도움요청_도와주세요_개짖는소리,도와줘요,voice,female,adult,standard
245504,2.783,14.도움요청_128987_label,0.39149999999999996,3.8015,일반(위급),도움요청,여_도움요청_도와주세요_개짖는소리,도와줘요,voice,female,adult,standard
245504,2.783,14.도움요청_131462_label,0.39149999999999996,3.7215,일반(위급),도움요청,여_도움요청_도와주세요_개짖는소리,도와줘요,voice,female,adult,standard
245504,2.783,14.도움요청_132324_label,0.39149999999999996,4.201499999999999,일반(위급),도움요청,여_도움요청_도와주세요_개짖는소리,도와주세요,voice,female,adult,standard
245504,2.783,14.도움요청_133501_label,0.39149999999999996,3.5215,일반(위급),도움요청,여_도움요청_도와주세요_개짖는소리,도와주세요,voice,female,adult,standard
245504,2.783,14.도움요청_135198_label,0.39149999999999996,3.8515,일반(위급),도움요청,여_도움요청_도와주세요_개짖는소리,도와줘요,voice,female,adult,standard
245504,2.783,14.도움요청_34647_label,0.39149999999999996,3.6315,일반(위급),도움요청,여_도움요청_개조심해_개짖는소리,개사나워,voice,female,adult,standard
245504,2.783,14.도움요청_34744_label,0.39149999999999996,3.6115,일반(위급),도움요청,여_도움요청_개조심해_개짖는소리,강아지조심해,voice,female,adult,standard
245504,2.783,14.도움요청_36491_label,0.39149999999999996,3.3115,일반(위급),도움요청,여_도움요청_개조심해_개짖는소리,강아지조심해,voice,female,adult,standard
245504,2.783,14.도움요청_38487_label,0.39149999999999996,3.4115,일반(위급),도움요청,여_도움요청_개조심해_개짖는소리,개사나워,voice,female,adult,standard
245504,2.783,14.도움요청_38674_label,0.39149999999999996,3.2615,일반(위급),도움요청,여_도움요청_개조심해_개짖는소리,강아지조심해,voice,female,adult,standard
245504,2.783,14.도움요청_39286_label,0.39149999999999996,3.2215,일반(위급),도움요청,여_도움요청_개조심해_개짖는소리,강아지조심해,voice,female,adult,standard
245504,2.783,14.도움요청_41888_label,0.39149999999999996,2.9915000000000003,일반(위급),도움요청,여_도움요청_개조심해_개짖는소리,개조심해,voice,female,adult,standard
245504,2.783,14.도움요청_45376_label,0.39149999999999996,2.9415,일반(위급),도움요청,여_도움요청_문다_개짖는소리,문다,voice,female,adult,standard
245504,2.783,14.도움요청_45671_label,0.39149999999999996,2.8315,일반(위급),도움요청,여_도움요청_문다_개짖는소리,문다,voice,female,adult,standard
245504,2.783,14.도움요청_46742_label,0.39149999999999996,3.0915,일반(위급),도움요청,여_도움요청_문다_개짖는소리,문다,voice,female,adult,standard
245504,2.783,14.도움요청_78446_label,0.39149999999999996,3.7915,일반(위급),도움요청,여_도움요청_강아지피해_개짖는소리,강아지피해,voice,female,adult,standard
245504,2.783,14.도움요청_85619_label,0.39149999999999996,3.3415,일반(위급),도움요청,여_도움요청_강아지피해_개짖는소리,강아지피해,voice,female,adult,standard
245504,2.783,14.도움요청_86079_label,0.39149999999999996,3.6715,일반(위급),도움요청,여_도움요청_강아지피해_개짖는소리,강아지피해,voice,female,adult,standard
325678,3.692,14.도움요청_102797_label,0.8460000000000001,3.866,일반(위급),도움요청,여_도움요청_개만지지마_개짖는소리,개만지지마,voice,female,adult,standard
325678,3.692,14.도움요청_103150_label,0.8460000000000001,3.936,일반(위급),도움요청,여_도움요청_개만지지마_개짖는소리,개만지지마,voice,female,adult,standard
325678,3.692,14.도움요청_103511_label,0.8460000000000001,4.6259999999999994,일반(위급),도움요청,여_도움요청_개만지지마_개짖는소리,개만지지마,voice,female,adult,standard
